timestamp,data
0,5.0
1000,7.0
2000,10.0
3000,2.0
4000,16.0
5000,7.0
6000,12.0
7000,9.0
8000,7.0
9000,10.0
10000,12.0
11000,14.0
12000,7.0
13000,3.0
14000,5.0
15000,10.0
16000,11.0
17000,6.0
18000,7.0
19000,1.0
20000,7.0
21000,6.0
22000,15.0
23000,4.0
24000,8.0
25000,4.0
26000,5.0
27000,8.0
28000,6.0
29000,8.0
30000,10.0
31000,7.0
32000,7.0
33000,6.0
34000,7.0
35000,13.0
36000,12.0
37000,11.0
38000,12.0
39000,13.0
40000,2.0
41000,5.0
42000,4.0
43000,14.0
44000,8.0
45000,7.0
46000,13.0
47000,8.0
48000,9.0
49000,6.0
50000,8.0
51000,9.0
52000,8.0
53000,11.0
54000,4.0
55000,15.0
56000,13.0
57000,7.0
58000,11.0
59000,4.0
60000,10.0
61000,7.0
62000,9.0
63000,10.0
64000,11.0
65000,8.0
66000,7.0
67000,18.0
68000,4.0
69000,4.0
70000,12.0
71000,6.0
72000,11.0
73000,12.0
74000,7.0
75000,9.0
76000,10.0
77000,4.0
78000,16.0
79000,6.0
80000,3.0
81000,16.0
82000,4.0
83000,7.0
84000,12.0
85000,13.0
86000,6.0
87000,10.0
88000,8.0
89000,11.0
90000,7.0
91000,7.0
92000,9.0
93000,9.0
94000,14.0
95000,8.0
96000,8.0
97000,15.0
98000,9.0
99000,12.0
100000,10.0
101000,5.0
102000,10.0
103000,4.0
104000,11.0
105000,24.0
106000,20.0
107000,10.0
108000,6.0
109000,11.0
110000,10.0
111000,9.0
112000,9.0
113000,11.0
114000,7.0
115000,10.0
116000,10.0
117000,7.0
118000,10.0
119000,14.0
120000,9.0
121000,7.0
122000,7.0
123000,8.0
124000,10.0
125000,3.0
126000,9.0
127000,13.0
128000,10.0
129000,9.0
130000,9.0
131000,6.0
132000,7.0
133000,8.0
134000,13.0
135000,6.0
136000,5.0
137000,6.0
138000,5.0
139000,9.0
140000,7.0
141000,8.0
142000,9.0
143000,7.0
144000,9.0
145000,10.0
146000,6.0
147000,7.0
148000,7.0
149000,6.0
150000,6.0
151000,10.0
152000,13.0
153000,9.0
154000,9.0
155000,9.0
156000,6.0
157000,9.0
158000,10.0
159000,16.0
160000,10.0
161000,11.0
162000,10.0
163000,9.0
164000,10.0
165000,12.0
166000,9.0
167000,10.0
168000,7.0
169000,6.0
170000,8.0
171000,9.0
172000,7.0
173000,9.0
174000,9.0
175000,7.0
176000,7.0
177000,11.0
178000,9.0
179000,8.0
180000,12.0
181000,11.0
182000,8.0
183000,13.0
184000,14.0
185000,3.0
186000,9.0
187000,7.0
188000,9.0
189000,9.0
190000,5.0
191000,9.0
192000,9.0
193000,7.0
194000,5.0
195000,11.0
196000,9.0
197000,17.0
198000,5.0
199000,12.0
200000,12.0
201000,11.0
202000,12.0
203000,10.0
204000,5.0
205000,12.0
206000,9.0
207000,4.0
208000,11.0
209000,14.0
210000,11.0
211000,12.0
212000,5.0
213000,10.0
214000,7.0
215000,9.0
216000,6.0
217000,17.0
218000,9.0
219000,11.0
220000,5.0
221000,10.0
222000,11.0
223000,11.0
224000,5.0
225000,11.0
226000,10.0
227000,13.0
228000,11.0
229000,11.0
230000,7.0
231000,11.0
232000,4.0
233000,13.0
234000,10.0
235000,8.0
236000,4.0
237000,7.0
238000,10.0
239000,16.0
240000,9.0
241000,11.0
242000,10.0
243000,13.0
244000,15.0
245000,15.0
246000,11.0
247000,8.0
248000,16.0
249000,13.0
250000,8.0
251000,5.0
252000,10.0
253000,9.0
254000,11.0
255000,11.0
256000,11.0
257000,8.0
258000,7.0
259000,8.0
260000,13.0
261000,11.0
262000,10.0
263000,6.0
264000,13.0
265000,10.0
266000,12.0
267000,11.0
268000,10.0
269000,13.0
270000,9.0
271000,12.0
272000,8.0
273000,11.0
274000,6.0
275000,8.0
276000,7.0
277000,7.0
278000,9.0
279000,16.0
280000,16.0
281000,14.0
282000,12.0
283000,12.0
284000,18.0
285000,5.0
286000,13.0
287000,13.0
288000,8.0
289000,15.0
290000,11.0
291000,13.0
292000,12.0
293000,10.0
294000,9.0
295000,12.0
296000,16.0
297000,12.0
298000,10.0
299000,11.0
300000,12.0
301000,15.0
302000,16.0
303000,12.0
304000,9.0
305000,12.0
306000,10.0
307000,12.0
308000,10.0
309000,20.0
310000,8.0
311000,8.0
312000,16.0
313000,16.0
314000,13.0
315000,10.0
316000,6.0
317000,5.0
318000,14.0
319000,15.0
320000,10.0
321000,10.0
322000,11.0
323000,7.0
324000,6.0
325000,10.0
326000,13.0
327000,6.0
328000,15.0
329000,15.0
330000,7.0
331000,6.0
332000,15.0
333000,9.0
334000,8.0
335000,9.0
336000,5.0
337000,11.0
338000,17.0
339000,17.0
340000,19.0
341000,10.0
342000,12.0
343000,9.0
344000,12.0
345000,12.0
346000,13.0
347000,11.0
348000,12.0
349000,14.0
350000,9.0
351000,5.0
352000,14.0
353000,12.0
354000,17.0
355000,13.0
356000,4.0
357000,10.0
358000,16.0
359000,13.0
360000,8.0
361000,11.0
362000,7.0
363000,10.0
364000,7.0
365000,9.0
366000,6.0
367000,11.0
368000,11.0
369000,11.0
370000,11.0
371000,10.0
372000,15.0
373000,12.0
374000,9.0
375000,13.0
376000,12.0
377000,8.0
378000,9.0
379000,14.0
380000,7.0
381000,11.0
382000,9.0
383000,8.0
384000,5.0
385000,8.0
386000,7.0
387000,11.0
388000,16.0
389000,5.0
390000,12.0
391000,9.0
392000,9.0
393000,13.0
394000,8.0
395000,12.0
396000,9.0
397000,11.0
398000,8.0
399000,7.0
400000,8.0
401000,6.0
402000,5.0
403000,11.0
404000,10.0
405000,6.0
406000,9.0
407000,7.0
408000,21.0
409000,11.0
410000,10.0
411000,12.0
412000,14.0
413000,14.0
414000,13.0
415000,13.0
416000,10.0
417000,12.0
418000,9.0
419000,12.0
420000,8.0
421000,9.0
422000,5.0
423000,12.0
424000,4.0
425000,16.0
426000,14.0
427000,15.0
428000,7.0
429000,13.0
430000,12.0
431000,11.0
432000,7.0
433000,11.0
434000,14.0
435000,16.0
436000,12.0
437000,12.0
438000,11.0
439000,9.0
440000,3.0
441000,9.0
442000,13.0
443000,6.0
444000,17.0
445000,14.0
446000,9.0
447000,8.0
448000,11.0
449000,10.0
450000,14.0
451000,15.0
452000,6.0
453000,15.0
454000,14.0
455000,12.0
456000,21.0
457000,17.0
458000,12.0
459000,9.0
460000,14.0
461000,9.0
462000,14.0
463000,13.0
464000,10.0
465000,13.0
466000,18.0
467000,11.0
468000,11.0
469000,17.0
470000,12.0
471000,16.0
472000,11.0
473000,14.0
474000,12.0
475000,11.0
476000,10.0
477000,13.0
478000,6.0
479000,9.0
480000,14.0
481000,17.0
482000,12.0
483000,7.0
484000,13.0
485000,15.0
486000,15.0
487000,12.0
488000,13.0
489000,14.0
490000,8.0
491000,11.0
492000,10.0
493000,11.0
494000,15.0
495000,11.0
496000,12.0
497000,15.0
498000,12.0
499000,10.0
500000,10.0
501000,14.0
502000,11.0
503000,12.0
504000,12.0
505000,12.0
506000,9.0
507000,12.0
508000,6.0
509000,13.0
510000,9.0
511000,9.0
512000,10.0
513000,14.0
514000,14.0
515000,14.0
516000,8.0
517000,7.0
518000,9.0
519000,13.0
520000,13.0
521000,10.0
522000,12.0
523000,11.0
524000,12.0
525000,11.0
526000,14.0
527000,10.0
528000,15.0
529000,19.0
530000,13.0
531000,8.0
532000,16.0
533000,12.0
534000,4.0
535000,9.0
536000,11.0
537000,13.0
538000,15.0
539000,9.0
540000,8.0
541000,14.0
542000,12.0
543000,10.0
544000,10.0
545000,12.0
546000,3.0
547000,9.0
548000,14.0
549000,8.0
550000,9.0
551000,9.0
552000,10.0
553000,7.0
554000,11.0
555000,17.0
556000,8.0
557000,12.0
558000,7.0
559000,7.0
560000,10.0
561000,8.0
562000,8.0
563000,10.0
564000,10.0
565000,10.0
566000,14.0
567000,10.0
568000,9.0
569000,12.0
570000,7.0
571000,8.0
572000,9.0
573000,16.0
574000,14.0
575000,10.0
576000,7.0
577000,12.0
578000,11.0
579000,12.0
580000,11.0
581000,10.0
582000,13.0
583000,13.0
584000,6.0
585000,6.0
586000,9.0
587000,5.0
588000,9.0
589000,10.0
590000,12.0
591000,6.0
592000,7.0
593000,12.0
594000,11.0
595000,7.0
596000,5.0
597000,8.0
598000,7.0
599000,7.0
600000,6.0
601000,11.0
602000,10.0
603000,4.0
604000,6.0
605000,5.0
606000,3.0
607000,9.0
608000,5.0
609000,18.0
610000,8.0
611000,8.0
612000,7.0
613000,6.0
614000,8.0
615000,9.0
616000,15.0
617000,4.0
618000,11.0
619000,9.0
620000,10.0
621000,7.0
622000,13.0
623000,8.0
624000,10.0
625000,9.0
626000,6.0
627000,5.0
628000,10.0
629000,5.0
630000,12.0
631000,13.0
632000,6.0
633000,9.0
634000,5.0
635000,12.0
636000,7.0
637000,5.0
638000,7.0
639000,6.0
640000,8.0
641000,10.0
642000,11.0
643000,5.0
644000,6.0
645000,6.0
646000,5.0
647000,13.0
648000,12.0
649000,13.0
650000,8.0
651000,12.0
652000,6.0
653000,14.0
654000,12.0
655000,13.0
656000,11.0
657000,5.0
658000,3.0
659000,10.0
660000,10.0
661000,13.0
662000,8.0
663000,7.0
664000,6.0
665000,6.0
666000,7.0
667000,10.0
668000,9.0
669000,11.0
670000,15.0
671000,10.0
672000,6.0
673000,5.0
674000,8.0
675000,15.0
676000,10.0
677000,9.0
678000,8.0
679000,5.0
680000,11.0
681000,9.0
682000,4.0
683000,10.0
684000,9.0
685000,5.0
686000,11.0
687000,9.0
688000,9.0
689000,5.0
690000,5.0
691000,11.0
692000,4.0
693000,10.0
694000,4.0
695000,7.0
696000,6.0
697000,6.0
698000,4.0
699000,6.0
700000,12.0
701000,10.0
702000,6.0
703000,6.0
704000,6.0
705000,8.0
706000,10.0
707000,11.0
708000,7.0
709000,8.0
710000,5.0
711000,4.0
712000,7.0
713000,7.0
714000,11.0
715000,9.0
716000,7.0
717000,11.0
718000,7.0
719000,8.0
720000,7.0
721000,8.0
722000,9.0
723000,6.0
724000,7.0
725000,9.0
726000,12.0
727000,4.0
728000,4.0
729000,11.0
730000,4.0
731000,5.0
732000,4.0
733000,13.0
734000,12.0
735000,5.0
736000,3.0
737000,5.0
738000,6.0
739000,15.0
740000,6.0
741000,5.0
742000,6.0
743000,7.0
744000,8.0
745000,8.0
746000,9.0
747000,12.0
748000,7.0
749000,8.0
750000,2.0
751000,3.0
752000,8.0
753000,6.0
754000,7.0
755000,9.0
756000,4.0
757000,9.0
758000,8.0
759000,5.0
760000,7.0
761000,8.0
762000,8.0
763000,10.0
764000,8.0
765000,5.0
766000,5.0
767000,5.0
768000,8.0
769000,9.0
770000,9.0
771000,12.0
772000,10.0
773000,5.0
774000,9.0
775000,5.0
776000,3.0
777000,4.0
778000,6.0
779000,7.0
780000,12.0
781000,8.0
782000,11.0
783000,6.0
784000,7.0
785000,8.0
786000,3.0
787000,6.0
788000,11.0
789000,8.0
790000,4.0
791000,6.0
792000,5.0
793000,5.0
794000,11.0
795000,11.0
796000,7.0
797000,6.0
798000,9.0
799000,9.0
800000,4.0
801000,6.0
802000,5.0
803000,9.0
804000,6.0
805000,3.0
806000,4.0
807000,5.0
808000,4.0
809000,9.0
810000,6.0
811000,10.0
812000,12.0
813000,11.0
814000,6.0
815000,3.0
816000,6.0
817000,9.0
818000,5.0
819000,11.0
820000,4.0
821000,8.0
822000,9.0
823000,8.0
824000,5.0
825000,11.0
826000,8.0
827000,5.0
828000,4.0
829000,6.0
830000,9.0
831000,10.0
832000,6.0
833000,4.0
834000,4.0
835000,11.0
836000,5.0
837000,6.0
838000,7.0
839000,17.0
840000,6.0
841000,4.0
842000,6.0
843000,9.0
844000,5.0
845000,13.0
846000,5.0
847000,8.0
848000,8.0
849000,4.0
850000,7.0
851000,7.0
852000,7.0
853000,13.0
854000,7.0
855000,10.0
856000,12.0
857000,7.0
858000,11.0
859000,5.0
860000,4.0
861000,9.0
862000,12.0
863000,4.0
864000,8.0
865000,5.0
866000,9.0
867000,8.0
868000,8.0
869000,7.0
870000,6.0
871000,12.0
872000,13.0
873000,8.0
874000,7.0
875000,9.0
876000,11.0
877000,6.0
878000,6.0
879000,9.0
880000,4.0
881000,8.0
882000,8.0
883000,6.0
884000,5.0
885000,9.0
886000,14.0
887000,2.0
888000,7.0
889000,7.0
890000,6.0
891000,10.0
892000,12.0
893000,9.0
894000,7.0
895000,13.0
896000,12.0
897000,8.0
898000,9.0
899000,10.0
900000,4.0
901000,8.0
902000,8.0
903000,7.0
904000,2.0
905000,6.0
906000,8.0
907000,10.0
908000,9.0
909000,5.0
910000,12.0
911000,11.0
912000,7.0
913000,12.0
914000,3.0
915000,7.0
916000,8.0
917000,8.0
918000,4.0
919000,15.0
920000,11.0
921000,2.0
922000,14.0
923000,8.0
924000,7.0
925000,5.0
926000,4.0
927000,8.0
928000,2.0
929000,9.0
930000,8.0
931000,9.0
932000,4.0
933000,2.0
934000,7.0
935000,12.0
936000,6.0
937000,7.0
938000,8.0
939000,11.0
940000,2.0
941000,8.0
942000,4.0
943000,11.0
944000,10.0
945000,4.0
946000,5.0
947000,7.0
948000,4.0
949000,4.0
950000,7.0
951000,5.0
952000,10.0
953000,7.0
954000,9.0
955000,8.0
956000,8.0
957000,5.0
958000,5.0
959000,10.0
960000,5.0
961000,7.0
962000,8.0
963000,4.0
964000,8.0
965000,7.0
966000,12.0
967000,5.0
968000,1.0
969000,7.0
970000,10.0
971000,7.0
972000,6.0
973000,3.0
974000,5.0
975000,5.0
976000,6.0
977000,7.0
978000,5.0
979000,5.0
980000,7.0
981000,5.0
982000,4.0
983000,5.0
984000,1.0
985000,7.0
986000,10.0
987000,7.0
988000,4.0
989000,9.0
990000,4.0
991000,4.0
992000,4.0
993000,7.0
994000,13.0
995000,8.0
996000,7.0
997000,2.0
998000,5.0
999000,7.0
1000000,8.0
1001000,4.0
1002000,8.0
1003000,5.0
1004000,7.0
1005000,9.0
1006000,3.0
1007000,5.0
1008000,5.0
1009000,6.0
1010000,4.0
1011000,9.0
1012000,5.0
1013000,7.0
1014000,6.0
1015000,12.0
1016000,6.0
1017000,10.0
1018000,2.0
1019000,6.0
1020000,5.0
1021000,7.0
1022000,5.0
1023000,8.0
1024000,11.0
1025000,5.0
1026000,7.0
1027000,3.0
1028000,9.0
1029000,9.0
1030000,5.0
1031000,9.0
1032000,6.0
1033000,4.0
1034000,6.0
1035000,5.0
1036000,11.0
1037000,7.0
1038000,4.0
1039000,7.0
1040000,4.0
1041000,9.0
1042000,5.0
1043000,5.0
1044000,7.0
1045000,4.0
1046000,7.0
1047000,9.0
1048000,11.0
1049000,12.0
1050000,7.0
1051000,7.0
1052000,6.0
1053000,7.0
1054000,2.0
1055000,7.0
1056000,3.0
1057000,10.0
1058000,7.0
1059000,6.0
1060000,9.0
1061000,6.0
1062000,12.0
1063000,5.0
1064000,7.0
1065000,6.0
1066000,8.0
1067000,6.0
1068000,10.0
1069000,13.0
1070000,6.0
1071000,10.0
1072000,9.0
1073000,4.0
1074000,4.0
1075000,8.0
1076000,8.0
1077000,7.0
1078000,4.0
1079000,10.0
1080000,4.0
1081000,11.0
1082000,6.0
1083000,9.0
1084000,5.0
1085000,7.0
1086000,11.0
1087000,6.0
1088000,9.0
1089000,3.0
1090000,7.0
1091000,5.0
1092000,9.0
1093000,10.0
1094000,4.0
1095000,10.0
1096000,4.0
1097000,8.0
1098000,10.0
1099000,9.0
1100000,13.0
1101000,7.0
1102000,6.0
1103000,8.0
1104000,4.0
1105000,6.0
1106000,5.0
1107000,8.0
1108000,9.0
1109000,7.0
1110000,8.0
1111000,5.0
1112000,8.0
1113000,9.0
1114000,8.0
1115000,8.0
1116000,4.0
1117000,8.0
1118000,5.0
1119000,5.0
1120000,4.0
1121000,6.0
1122000,10.0
1123000,7.0
1124000,3.0
1125000,10.0
1126000,4.0
1127000,4.0
1128000,12.0
1129000,10.0
1130000,12.0
1131000,9.0
1132000,8.0
1133000,10.0
1134000,8.0
1135000,9.0
1136000,7.0
1137000,7.0
1138000,6.0
1139000,7.0
1140000,9.0
1141000,2.0
1142000,14.0
1143000,2.0
1144000,3.0
1145000,4.0
1146000,6.0
1147000,8.0
1148000,7.0
1149000,5.0
1150000,10.0
1151000,12.0
1152000,6.0
1153000,9.0
1154000,13.0
1155000,2.0
1156000,11.0
1157000,8.0
1158000,11.0
1159000,7.0
1160000,8.0
1161000,5.0
1162000,6.0
1163000,7.0
1164000,7.0
1165000,9.0
1166000,9.0
1167000,11.0
1168000,8.0
1169000,10.0
1170000,6.0
1171000,6.0
1172000,3.0
1173000,9.0
1174000,5.0
1175000,3.0
1176000,4.0
1177000,9.0
1178000,6.0
1179000,5.0
1180000,4.0
1181000,8.0
1182000,4.0
1183000,0.0
1184000,3.0
1185000,4.0
1186000,4.0
1187000,12.0
1188000,5.0
1189000,6.0
1190000,6.0
1191000,4.0
1192000,6.0
1193000,11.0
1194000,6.0
1195000,10.0
1196000,10.0
1197000,8.0
1198000,11.0
1199000,8.0
1200000,10.0
1201000,11.0
1202000,7.0
1203000,9.0
1204000,9.0
1205000,5.0
1206000,6.0
1207000,7.0
1208000,8.0
1209000,6.0
1210000,4.0
1211000,9.0
1212000,9.0
1213000,4.0
1214000,9.0
1215000,5.0
1216000,9.0
1217000,8.0
1218000,7.0
1219000,7.0
1220000,8.0
1221000,10.0
1222000,7.0
1223000,5.0
1224000,6.0
1225000,6.0
1226000,2.0
1227000,2.0
1228000,5.0
1229000,12.0
1230000,5.0
1231000,11.0
1232000,11.0
1233000,7.0
1234000,10.0
1235000,6.0
1236000,6.0
1237000,6.0
1238000,8.0
1239000,6.0
1240000,8.0
1241000,7.0
1242000,9.0
1243000,4.0
1244000,7.0
1245000,8.0
1246000,17.0
1247000,12.0
1248000,10.0
1249000,8.0
1250000,6.0
1251000,11.0
1252000,10.0
1253000,5.0
1254000,5.0
1255000,2.0
1256000,5.0
1257000,7.0
1258000,10.0
1259000,6.0
1260000,4.0
1261000,9.0
1262000,6.0
1263000,7.0
1264000,7.0
1265000,7.0
1266000,5.0
1267000,4.0
1268000,7.0
1269000,8.0
1270000,5.0
1271000,8.0
1272000,12.0
1273000,5.0
1274000,6.0
1275000,5.0
1276000,11.0
1277000,10.0
1278000,10.0
1279000,7.0
1280000,7.0
1281000,5.0
1282000,6.0
1283000,11.0
1284000,4.0
1285000,10.0
1286000,5.0
1287000,10.0
1288000,6.0
1289000,6.0
1290000,11.0
1291000,6.0
1292000,7.0
1293000,6.0
1294000,7.0
1295000,4.0
1296000,9.0
1297000,5.0
1298000,7.0
1299000,5.0
1300000,13.0
1301000,11.0
1302000,5.0
1303000,8.0
1304000,3.0
1305000,4.0
1306000,7.0
1307000,8.0
1308000,3.0
1309000,8.0
1310000,8.0
1311000,8.0
1312000,8.0
1313000,6.0
1314000,6.0
1315000,1.0
1316000,7.0
1317000,5.0
1318000,5.0
1319000,7.0
1320000,5.0
1321000,4.0
1322000,10.0
1323000,5.0
1324000,4.0
1325000,4.0
1326000,7.0
1327000,7.0
1328000,4.0
1329000,6.0
1330000,5.0
1331000,6.0
1332000,7.0
1333000,6.0
1334000,6.0
1335000,10.0
1336000,8.0
1337000,3.0
1338000,4.0
1339000,3.0
1340000,7.0
1341000,5.0
1342000,7.0
1343000,4.0
1344000,8.0
1345000,4.0
1346000,6.0
1347000,3.0
1348000,8.0
1349000,3.0
1350000,4.0
1351000,7.0
1352000,6.0
1353000,8.0
1354000,4.0
1355000,10.0
1356000,8.0
1357000,5.0
1358000,9.0
1359000,3.0
1360000,8.0
1361000,8.0
1362000,3.0
1363000,11.0
1364000,6.0
1365000,4.0
1366000,7.0
1367000,7.0
1368000,7.0
1369000,7.0
1370000,9.0
1371000,5.0
1372000,5.0
1373000,4.0
1374000,3.0
1375000,12.0
1376000,4.0
1377000,6.0
1378000,11.0
1379000,4.0
1380000,4.0
1381000,5.0
1382000,5.0
1383000,8.0
1384000,5.0
1385000,6.0
1386000,7.0
1387000,6.0
1388000,11.0
1389000,9.0
1390000,7.0
1391000,9.0
1392000,10.0
1393000,7.0
1394000,8.0
1395000,9.0
1396000,14.0
1397000,6.0
1398000,6.0
1399000,4.0
1400000,13.0
1401000,9.0
1402000,2.0
1403000,10.0
1404000,7.0
1405000,4.0
1406000,9.0
1407000,6.0
1408000,4.0
1409000,9.0
1410000,8.0
1411000,6.0
1412000,8.0
1413000,4.0
1414000,8.0
1415000,8.0
1416000,9.0
1417000,3.0
1418000,8.0
1419000,8.0
1420000,6.0
1421000,3.0
1422000,5.0
1423000,6.0
1424000,12.0
1425000,9.0
1426000,8.0
1427000,11.0
1428000,9.0
1429000,6.0
1430000,5.0
1431000,9.0
1432000,12.0
1433000,6.0
1434000,6.0
1435000,3.0
1436000,7.0
1437000,11.0
1438000,9.0
1439000,6.0
1440000,6.0
1441000,8.0
1442000,3.0
1443000,5.0
1444000,11.0
1445000,5.0
1446000,2.0
1447000,3.0
1448000,6.0
1449000,3.0
1450000,5.0
1451000,6.0
1452000,9.0
1453000,6.0
1454000,5.0
1455000,3.0
1456000,3.0
1457000,4.0
1458000,9.0
1459000,2.0
1460000,6.0
1461000,6.0
1462000,11.0
1463000,11.0
1464000,8.0
1465000,9.0
1466000,5.0
1467000,10.0
1468000,3.0
1469000,6.0
1470000,8.0
1471000,8.0
1472000,5.0
1473000,8.0
1474000,7.0
1475000,11.0
1476000,11.0
1477000,7.0
1478000,9.0
1479000,9.0
1480000,10.0
1481000,3.0
1482000,10.0
1483000,4.0
1484000,4.0
1485000,3.0
1486000,8.0
1487000,10.0
1488000,6.0
1489000,7.0
1490000,11.0
1491000,12.0
1492000,5.0
1493000,4.0
1494000,10.0
1495000,6.0
1496000,8.0
1497000,7.0
1498000,8.0
1499000,5.0
1500000,4.0
1501000,2.0
1502000,7.0
1503000,7.0
1504000,9.0
1505000,5.0
1506000,5.0
1507000,5.0
1508000,10.0
1509000,6.0
1510000,6.0
1511000,9.0
1512000,3.0
1513000,6.0
1514000,10.0
1515000,4.0
1516000,7.0
1517000,10.0
1518000,9.0
1519000,3.0
1520000,10.0
1521000,7.0
1522000,6.0
1523000,6.0
1524000,9.0
1525000,6.0
1526000,5.0
1527000,6.0
1528000,9.0
1529000,6.0
1530000,4.0
1531000,4.0
1532000,6.0
1533000,9.0
1534000,6.0
1535000,4.0
1536000,7.0
1537000,6.0
1538000,5.0
1539000,5.0
1540000,3.0
1541000,6.0
1542000,11.0
1543000,5.0
1544000,7.0
1545000,6.0
1546000,5.0
1547000,3.0
1548000,9.0
1549000,8.0
1550000,5.0
1551000,6.0
1552000,10.0
1553000,6.0
1554000,5.0
1555000,6.0
1556000,5.0
1557000,5.0
1558000,7.0
1559000,5.0
1560000,6.0
1561000,7.0
1562000,8.0
1563000,6.0
1564000,8.0
1565000,7.0
1566000,10.0
1567000,5.0
1568000,8.0
1569000,10.0
1570000,6.0
1571000,7.0
1572000,6.0
1573000,8.0
1574000,5.0
1575000,7.0
1576000,4.0
1577000,10.0
1578000,2.0
1579000,10.0
1580000,5.0
1581000,8.0
1582000,8.0
1583000,6.0
1584000,8.0
1585000,8.0
1586000,9.0
1587000,9.0
1588000,7.0
1589000,13.0
1590000,5.0
1591000,6.0
1592000,11.0
1593000,4.0
1594000,5.0
1595000,6.0
1596000,9.0
1597000,5.0
1598000,9.0
1599000,6.0
1600000,2.0
1601000,7.0
1602000,3.0
1603000,9.0
1604000,7.0
1605000,8.0
1606000,4.0
1607000,5.0
1608000,11.0
1609000,4.0
1610000,9.0
1611000,2.0
1612000,7.0
1613000,7.0
1614000,7.0
1615000,7.0
1616000,13.0
1617000,5.0
1618000,3.0
1619000,5.0
1620000,13.0
1621000,11.0
1622000,5.0
1623000,6.0
1624000,10.0
1625000,5.0
1626000,5.0
1627000,5.0
1628000,11.0
1629000,7.0
1630000,8.0
1631000,4.0
1632000,9.0
1633000,10.0
1634000,11.0
1635000,9.0
1636000,4.0
1637000,9.0
1638000,4.0
1639000,5.0
1640000,6.0
1641000,6.0
1642000,10.0
1643000,2.0
1644000,5.0
1645000,5.0
1646000,10.0
1647000,4.0
1648000,8.0
1649000,5.0
1650000,4.0
1651000,7.0
1652000,5.0
1653000,10.0
1654000,10.0
1655000,6.0
1656000,8.0
1657000,6.0
1658000,7.0
1659000,7.0
1660000,5.0
1661000,9.0
1662000,8.0
1663000,5.0
1664000,10.0
1665000,6.0
1666000,8.0
